"tweet_id","text"
1505929384632500224,"excite speak recently fantastic siena castellon founder neurodiversity celebration week sienna list impressive achievement multiaward win neurodiversity advocate"
1505929386914193408,"author book spectrum girl survival guide spectrum girl survival toolkit leader uns sustainable development goal blog"
1505932993701072896,"neurodiversity celebration week amp offer free online event aim bring worldwide neurodiversity acceptance equality amp inclusion school amp workplace start celebrate mind"
1505935883345747968,"week highland radio highlight neurodiversity celebration week patrick sharkey speak neurodivergent people challenge overcome daily life ep adhd"
1.505937018811e+18,"multidisciplinary artist calum perrin explore theme disability sensory experience domesticity recent residency museum neurodiversity celebration week hear calum artquest podcast"
1505937277918326784,"neurodiversity celebration week celebrate unique process information relate debunk top myth neurodiversity"
1505938319376621568,"neurodiversity week permission nap hate not_function level celebrate week forgiveness nap"
1505946084325179392,"solicitor england wale mark start neurodiversity celebration week challenge stereotype misconception neurological difference mark start neurodiversity celebration week"
1505947096519696384,"legal profession mark neurodiversity celebration week"
1505963945898635264,"renegade excellent shirt percentage profit provide diagnose folk access service support not_afford"
1505969108730494976,"march celebrate watch content week heinemann blog meantime check popular blog"
1505974773322555392,"proud support week time celebrate neurodiverse success story week people inspire"
1505975517580865536,"neurodiversity celebration week energy tweet article tire hard uninterested people listen"
1505976646469312512,"week people donehow energy answer isadhd learn type neurodiversity support friend teammate"
1505977057855086592,"week neurodiversity celebration week reminder ignorant son autism diagnosis change write celine assaf"
1505978920847683584,"celebrate neurodiverse colleague mark neurodiversity celebration week firefighter arwen personal insight experience dyslexic adhd nick story late week"
1505982878970167296,"neurodiversity celebration week blossom dyspraxia story fall celebrate neurodiversity blossom"
1505986980252954624,"student support team mark series online workshop guest speaker morgan clark talk autism acceptance education thursday"
1505995836425228288,"neurodiversity celebration week worldwide initiative challenge stereotype misconception neurological difference change narrative"
1505997796779962368,"term neurodiversity cover adhd autism dyslexia dyspraxia understand embrace celebrate release true power autistic mind positive feature autism"
1506005272799727616,"happy week meet kayley ella student dyslexia share experience read learn recent webinar"
1506027878592524288,"hear dyslexia overwhelm emotion angry sad confuse dr blair kenney read"
1506027878814650368,"week neurodiversity celebration week reminder ignorant write celine assaf"
1506028642614202368,"business secretary unveil neurodiversity business forum support"
1506055555432914944,"feel understand represent positive week neurodiversity celebration week celebrate blog book portray neurodivergent character positive"
1506093246878937088,"neurodiversity celebration week"
1506093786253836288,"neurodiversity comic book neurodiversity celebration week"
1506105464743886848,"school not_really community uni meet people whove autistic meet nicole autistic undergrad amp miss galaxy australia finalist speak journey"
1506144696287911936,"neurodivergence teach live title heart pitter pat excellent interview dr camilla pang"
1506150294387789824,"neurodiversity workplace market sbs money vodcast"
1506185723334082560,"forward support ako charity ambassador"
1506188705282801664,"ahhh question diablo neurodiversity workplace accessibility microtalks update page information"
1506189441274200064,"blog highlight neurodiversity celebration week talk disability support inclusion service manager jen harley top study tip neurodiverse student"
1506194024755081216,"proud support neurodiversity celebration week week enable homerton staff disability network read experience people wednesday homertonlite enable staff intranet page"
1506194042396237824,"neurodiversity celebration week change narrative challenge stereotype misconception neurological difference event happen week"
1506194397108613120,"neurodiversity variation brain sociability mood mental process autism adhd dyslexia dyspraxia tourette syndrome neurodiverse colleague amp patient neurodiversity celebration week"
1506198707443752960,"neurodiversity celebration week create inclusive environment british land utilise assistive technology people neurological difference amp fair access information website amp intranet"
1506201518185201664,"film explore adhd autism dyslexia provide reallife insight condition bring strength talent workforce"
1506201519309291520,"film explore adhd autism dyslexia provide reallife insight condition bring strength talent workforce"
1506201519695220736,"film explore adhd autism dyslexia provide reallife insight condition bring strength talent workforce"
1506201770107801600,"week neurodiversity celebration week worldwide initiative challenge stereotype misconception neurological difference thread share helpful resource tip"
1506207841534849024,"celebrate neurodiversity autistic people space stress nice"
1506209074517405696,"week neurodiversity celebration week reminder ignorant son autism diagnosis change write celine assaf"
1506209077340299264,"not_always understand result neurodivergent candidate fall hurdle recruitment process recruiter power catalyst positive change"
1506209080448331776,"base experience hire neurodivergent people guidance expert field learn specifically recruitment professional hope understand neurodiversity"
1506209208622096384,"talk toby bennett speaker upcoming event thursday april forum event not_just debunk stereotype"
1506209414520442880,"neurodiversity not_limit success leanne camhs peer support worker"
1506209445688356864,"remind receive abuse person online neurodiversity contact time"
1506211493611810816,"neurodiversity term recognise amp difference read"
1506214183125331968,"week mark neurodiversity celebration week share story neurodivergent freelancers neurodiversity define neurological development atypical include condition adhd autism"
1506214343255465984,"study population identify neurodivergent extent speak freelancer community affect neurodiversity bad"
1506214662718861312,"key reason celebrate neurodiversity week raise awareness challenge neurodiversity positive freelancers rest result survey"
1506217222783569920,"mention delight neurodiversity celebration week judith"
